Restaurant Name,Common Name,Inspection Date,Score,Address,Facility City,Zip Code,Facility ID,Process Description,
Circle K Store #2704682,,4/9/2019,84,"6500 S US 183 HWY
AUSTIN, TX 78744
(30.164092387667438, -97.69352171343812)",AUSTIN,78744,10762040,Routine Inspection,
Harmony School of Excellence-Austin,,4/11/2019,94,"2100 E ST ELMO RD
AUSTIN, TX 78744
(30.21007424052612, -97.74635884098882)",AUSTIN,78744,10331481,Routine Inspection,
"Honey Baked Ham Company LLC, The",,6/8/2017,96,"9029 RESEARCH BLVD
AUSTIN, TX 78758
(30.373254870396227, -97.72429605846118)",AUSTIN,78758,11496272,Routine Inspection,
Wingstop,,4/9/2019,80,"1701 W PARMER LN
AUSTIN, TX 78727
(30.41231681538678, -97.68947139129429)",AUSTIN,78727,10005294,Routine Inspection,
COTA - 34 Chophouse Main Grand Stand,,4/13/2019,96,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11229128,Routine Inspection,
Ranch 616,,10/28/2016,79,"616 NUECES ST
AUSTIN, TX 78701
(30.270450765862858, -97.74830805246421)",AUSTIN,78701,2801490,Routine Inspection,
River Oak Elementary,,4/9/2019,93,"12401 SCOFIELD FARMS DR
AUSTIN, TX 78758
(30.40799020812382, -97.68825060285873)",AUSTIN,78758,2800716,Routine Inspection,
Austin Oaks Hospital,,5/4/2018,100,"1407 W STASSNEY LN
AUSTIN, TX 78745
(30.211641166610907, -97.79176565232433)",AUSTIN,78745,10929524,Routine Inspection,
Stepping Stone School XVII,,4/11/2019,100,"1007 E 40TH ST
AUSTIN, TX 78751
(30.2967484914074, -97.71977647343203)",AUSTIN,78751,10652260,Routine Inspection,
"Mediterranean Chef, The",,4/5/2019,89,"5908 AURORA DR
AUSTIN, TX 78757
(30.32988033286565, -97.7280680687407)",AUSTIN,78757,10592894,Routine Inspection,
Whitney's Magical Treats,,11/2/2017,100,"13776 N US 183 HWY
AUSTIN, TX 78750
(30.462188307760552, -97.79721393938739)",AUSTIN,78750,11509518,Routine Inspection,
Noble Sandwiches,,4/11/2019,86,"4805 BURNET RD
AUSTIN, TX 78756
(30.319036670497557, -97.73887795451586)",AUSTIN,78756,11109950,Routine Inspection,
Workhorse,,4/9/2019,92,"100 E NORTH LOOP BLVD
AUSTIN, TX 78751
(30.31790027018135, -97.72214469218441)",AUSTIN,78751,10730249,Routine Inspection,
Papadom,,10/13/2017,75,"310 COLORADO ST
AUSTIN, TX 78701
(30.26612283051142, -97.74517280109613)",AUSTIN,78701,11639502,Routine Inspection,
Taco Bell #030157,TACO BELL,9/15/2017,97,"1016 E ANDERSON LN
AUSTIN, TX 78753
(30.337187106235945, -97.69426481063559)",AUSTIN,78753,11066724,Routine Inspection,
Taco Flats,,4/10/2019,84,"5520 BURNET RD
AUSTIN, TX 78756
(30.330831794304792, -97.74025934186135)",AUSTIN,78756,11206262,Routine Inspection,
Popeye's #323 - Z & H Foods Inc.,,4/9/2019,100,"9718 MANCHACA RD
AUSTIN, TX 78748
(30.175075907918465, -97.82368533162865)",AUSTIN,78748,11637609,Routine Inspection,
St. Paul Lutheran,,4/11/2019,94,"3501 RED RIVER ST
AUSTIN, TX 78705
(30.29419098564027, -97.72438928760572)",AUSTIN,78705,2800205,Routine Inspection,
Tokyo Gardens,,10/17/2018,97,"500 CANYON RIDGE DR
AUSTIN, TX 78753
(30.405272531898774, -97.67189737718928)",AUSTIN,78753,2802959,Routine Inspection,
WL - Hat Creek Burger Company,,9/10/2018,92,"5904 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.296203395197306, -97.82687532929445)",AUSTIN,78746,10643754,Routine Inspection,
Michi Ramen,,4/12/2019,86,"3005 S LAMAR BLVD
AUSTIN, TX 78704
(30.241345371569512, -97.78373739407446)",AUSTIN,78704,11353668,Routine Inspection,
Southern Heights Brewing,,4/12/2019,97,"6014 TECHNI CENTER DR
AUSTIN, TX 78721
(30.27677639644472, -97.66947146285544)",AUSTIN,78721,11727007,Routine Inspection,
Barnes and Nobles Booksellers,,4/14/2017,95,"14010 N US 183 HWY
AUSTIN, TX 78613
(30.473719104597297, -97.80132552080768)",AUSTIN,78613,2801399,Routine Inspection,
La Cabana Grill,,6/18/2018,85,"21103 W SH
AUSTIN, TX 78738
(30.352080238175088, -98.06419742655815)",AUSTIN,78738,10222706,Routine Inspection,
Taco Bell #030157,TACO BELL,2/23/2018,98,"1016 E ANDERSON LN
AUSTIN, TX 78753
(30.337187106235945, -97.69426481063559)",AUSTIN,78753,11066724,Routine Inspection,
Super 8 Motel,,4/5/2019,97,"5526 N IH
AUSTIN, TX 78751
(30.315310341221505, -97.70845258960243)",AUSTIN,78751,2802207,Routine Inspection,
COTA- Bev Bar 1 Main Grand Stand West,,4/13/2019,100,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11228932,Routine Inspection,
Tomgro Grocery,,2/15/2017,81,"1313 MONTOPOLIS DR
AUSTIN, TX 78741
(30.230131547189686, -97.69969086823693)",AUSTIN,78741,2803758,Routine Inspection,
Joe's Bakery,,4/19/2018,96,"2305 E 7TH ST
AUSTIN, TX 78702
(30.261079309234578, -97.71668737706912)",AUSTIN,78702,2800556,Routine Inspection,
Santa Rita #1,,4/10/2019,75,"1206 W 38TH ST
AUSTIN, TX 78705
(30.3066201806296, -97.74515599153088)",AUSTIN,78705,2802336,Routine Inspection,
"Cheesecake Factory, The",,4/9/2019,85,"2901 S CAPITAL OF TEXAS HWY
AUSTIN, TX 78746
(30.257892799713936, -97.80700989442836)",AUSTIN,78746,11387902,Routine Inspection,
Thundercloud Subs,,11/19/2018,90,"3204 GUADALUPE ST
AUSTIN, TX 78705
(30.29974080158839, -97.74049183348193)",AUSTIN,78705,2800617,Routine Inspection,
"Cornerstone Hospital of Austin, LLC",,4/11/2019,92,"4207 BURNET RD
AUSTIN, TX 78756
(30.312127547479594, -97.74344389444221)",AUSTIN,78756,2801191,Routine Inspection,
St David's Medical Center Cafe,,4/8/2019,90,"919 E 32ND ST
AUSTIN, TX 78705
(30.290681146814183, -97.72674475863798)",AUSTIN,78705,2801177,Routine Inspection,
Donut 7,,4/11/2019,78,"11005 BURNET RD
AUSTIN, TX 78758
(30.39438655579558, -97.72018349564816)",AUSTIN,78758,10884451,Routine Inspection,
Clayton Elementary,,4/12/2019,100,"7525 LA CROSSE AVE
AUSTIN, TX 78739
(30.195063449746474, -97.90629709842304)",AUSTIN,78739,2802894,Routine Inspection,
Hat Creek Burger Company,,4/10/2019,87,"3210 ESPERANZA XING
AUSTIN, TX 78758
(30.400023718407507, -97.72345668045985)",AUSTIN,78758,11701124,Routine Inspection,
Trinity Hall,,12/19/2018,95,"311 E 5TH ST
AUSTIN, TX 78701
(30.265984924369604, -97.74004071007754)",AUSTIN,78701,11047175,Routine Inspection,
Plush,,2/2/2017,87,"617 RED RIVER ST
AUSTIN, TX 78701
(30.267264346332414, -97.73674141808414)",AUSTIN,78701,2801758,Routine Inspection,
COTA - Austin Smoque Main Grand Stand,,4/13/2019,100,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11228887,Routine Inspection,
Sushi Niichi,,7/9/2018,92,"705 W 24TH ST
AUSTIN, TX 78705
(30.287744491526155, -97.74556150323691)",AUSTIN,78705,10015230,Routine Inspection,
"Brewer's Table, The",,4/11/2019,88,"4715 E 5TH ST
AUSTIN, TX 78702
(30.253319734777996, -97.70199421261458)",AUSTIN,78702,11919572,Routine Inspection,
Wal-Mart Supercenter Deli/Bakery #5317,,4/9/2019,96,"9300 S IH
AUSTIN, TX 78748
(30.165494514321672, -97.78952277619845)",AUSTIN,78748,2802655,Routine Inspection,
"Cavalier, The",,4/11/2019,92,"2400 WEBBERVILLE RD
AUSTIN, TX 78702
(30.262964359280307, -97.71475455053898)",AUSTIN,78702,11863576,Routine Inspection,
CVS Pharmacy #6945,,5/19/2017,97,"4405 E RIVERSIDE DR
AUSTIN, TX 78741
(30.23298082989919, -97.72378980589568)",AUSTIN,78741,2804035,Routine Inspection,
COTA - Rojos Main Grand Stand,,4/13/2019,86,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11229124,Routine Inspection,
Dev's Shell,,4/11/2019,82,"4001 MEDICAL PKWY
AUSTIN, TX 78756
(30.30863693401727, -97.74247012008573)",AUSTIN,78756,2804118,Routine Inspection,
COTA - Kitchen Main Grand Stand,,4/13/2019,94,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11229107,Routine Inspection,
Mobile Loaves and Fishes - Community First Village,,4/12/2019,90,"9301 HOG EYE RD
AUSTIN, TX 78724
(30.282187387540763, -97.62331184198511)",AUSTIN,78724,11845561,Routine Inspection,
Buca di Beppo,,11/2/2017,92,"3600 TUDOR BLVD
AUSTIN, TX 78759
(30.384656612624504, -97.73675801797968)",AUSTIN,78759,2801710,Routine Inspection,
Pepe's Fruit Cup #3,,11/27/2018,92,"2015 E RIVERSIDE DR
AUSTIN, TX 78741
(30.239648449233574, -97.72786898579996)",AUSTIN,78741,10813148,Routine Inspection,
Paul Martin's American Grill,,11/6/2017,80,"3120 PALM WAY
AUSTIN, TX 78758
(30.40279470423929, -97.72133190184972)",AUSTIN,78758,11606623,Routine Inspection,
Circle K Store #2704690,,5/24/2017,89,"1420 E ANDERSON LN
AUSTIN, TX 78753
(30.3335412752267, -97.68668070778041)",AUSTIN,78753,10757844,Routine Inspection,
COTA - Fairlanes Main Grand Stand,,4/13/2019,95,"9201 CIRCUIT OF THE AMERICAS BLVD
AUSTIN, TX 78617
(30.135639980655224, -97.64405177187912)",AUSTIN,78617,11229102,Routine Inspection,
Austin Travis County Integral Care,,4/11/2019,95,"6600 E BEN WHITE BLVD
AUSTIN, TX 78741
(30.21369943979125, -97.70860210253136)",AUSTIN,78741,11749365,Routine Inspection,
LW - Live Oak Country Club,,4/9/2019,84,"510 LAKEWAY DR
LAKEWAY, TX 78734
(30.365362457406142, -97.99257795678864)",AUSTIN,78734,2801360,Routine Inspection,
Happy Hearts Bilingual Learning Center,,8/1/2018,100,"6615 MANCHACA RD
AUSTIN, TX 78745
(30.205941894238943, -97.80590657935386)",AUSTIN,78745,10655396,Routine Inspection,
Westview Middle School,,4/9/2019,94,"1805 SCOFIELD LN
AUSTIN, TX 78727
(30.41719104036435, -97.6895439830529)",AUSTIN,78727,2800285,Routine Inspection,
Manor Food Mart #1,,4/8/2019,85,"6700 MANOR RD
AUSTIN, TX 78723
(30.310568120798838, -97.66717157405405)",AUSTIN,78723,10367499,Routine Inspection,
